weather_id,date_time,city,season,temperature_c,humidity,rain_mm,weather_condition,wind_speed_kmh,visibility_m,air_pressure_hpa
5001.0,2024-01-01 00:00,London,Winter,-2.21,-34.255069514048245,,Snow,43.6,875,1010.73
5002.0,2024-01-01 02:00,London,Winter,14.46,80.0,,Clear,78.82,9857,1004.81
5003.0,2024-01-01 04:00,London,Winter,4.25,84.0,0.0,Snow,21.42,9620,996.09
5004.0,2024-01-01 06:00,London,,1.41,74.0,0.0,Clear,54.42,11148,1007.39
,2024-01-01 08:00,London,Winter,7.51,52.0,0.0,Clear,,11599,999.58
5006.0,2024-01-01T10:00Z,London,Winter,4.51,78.0,0.0,Snow,51.99,5819,883.2607122270125
5007.0,2024-01-01T12:00Z,London,Winter,4.45,158.85743916473885,,Clear,15.22,,
5008.0,2024-01-01 14:00,London,Winter,-1.67,65.0,6.47,Snow,58.44,1479,1004.37
5009.0,,London,Winter,-0.3,,1.64,Snow,53.58,,993.59
5010.0,2024-01-01 18:00,London,Winter,11.67,81.0,0.0,Clear,21.16,9154,998.14
5011.0,2024-01-01 20:00,London,Winter,-4.12,56.0,0.0,Snow,,1342,1047.06
5012.0,01/01/2024 10PM,London,Winter,13.52,,14.73,Clear,64.86,49979.98932075065,1003.99
5013.0,02/01/2024 12AM,London,Winter,0.58,,17.54,Rain,27.65,971,998.68
5014.0,2024-01-02 02:00,London,Winter,7.46,59.0,0.0,Clear,15.35,8712,885.7472037497458
5015.0,2024-01-02 04:00,London,Winter,14.2,58.0,0.0,Clear,53.82,N/A,1020.74
5016.0,02/01/2024 06AM,London,Winter,-4.89,46.0,0.0,Clear,73.4,10175,1038.0
5017.0,2024-01-02T08:00Z,London,Winter,12.23,80.0,0.0,Clear,18.76,8617,888.5652785125978
5018.0,2024-01-02T10:00Z,,,26.42,65.0,0.0,Clear,63.99,49991.978547125706,996.6
5019.0,2024-01-02T12:00Z,,,12.86,53.0,0.0,Clear,60.16,,
5020.0,2024-01-02 14:00,London,,4.57,92.0,35.82,Rain,13.1,9537,1007.6
5021.0,2024-01-02T16:00Z,London,Winter,3.57,-22.744957375239792,0.0,Clear,14.09,11766,1007.42
5022.0,02/01/2024 06PM,London,Winter,,60.0,0.0,Clear,352.1403240489505,11105,
5023.0,2024-01-02T20:00Z,London,Winter,5.62,61.0,0.0,Clear,59.43,11025,1029.06
5024.0,2024-01-02 22:00,,Winter,-47.69658388618056,80.0,0.0,Clear,4.11,9641,1027.46
5025.0,2024-01-03T00:00Z,London,Winter,10.81,68.0,0.0,,365.63787576016506,,990.11
5026.0,2024-01-03T02:00Z,London,,7.0,95.0,0.0,Clear,182.69029531535583,9182,1002.16
5027.0,03/01/2024 04AM,London,Spring,5.39,,15.3,Clear,41.52,9785,993.65
5028.0,2024-01-03T06:00Z,London,Winter,,45.0,0.0,Clear,79.05,8768,
5029.0,2024-01-03T08:00Z,London,,18.9,59.0,222.8232469621042,Storm,40.71,4142,966.17
5030.0,2024-01-03 10:00,London,Winter,6.74,49.0,0.0,Clear,74.63,9568,991.75
5031.0,2024-01-03T12:00Z,London,Winter,-4.26,46.0,0.0,Clear,52.38,9386,1003.21
5032.0,03/01/2024 02PM,London,,2.05,49.0,221.81448081517726,,63.69,10175,997.2
5033.0,2024-01-03T16:00Z,London,Winter,,69.0,7.18,Fog,36.55,440,1029.71
5034.0,2024-01-03T18:00Z,London,Winter,13.21,58.0,0.0,Clear,20.05,8560,1015.85
5035.0,03/01/2024 08PM,London,Spring,8.01,53.0,0.0,Clear,38.55,,1020.17
5036.0,2024-01-03T22:00Z,London,Winter,-4.72,83.0,0.0,Clear,49.56,120022.7346909607,1016.33
5037.0,2024-01-04T00:00Z,London,Winter,8.41,66.0,0.0,Clear,75.12,9821,993.97
5038.0,2024-01-04 02:00,London,Winter,-39.0126770367574,43.0,0.0,Snow,16.57,972,1031.86
5039.0,2024-01-04 04:00,London,,7.96,34.0,0.0,Clear,,11551,1121.182463579181
5040.0,2024-01-04 06:00,London,Winter,-2.48,85.0,0.0,Snow,68.22,2871,1002.13
5041.0,2024-01-04 08:00,London,,2.9,164.0420845392432,0.0,Clear,4.12,10078,998.97
5042.0,04/01/2024 10AM,London,Spring,17.28,31.0,,Fog,,2162,993.67
5043.0,04/01/2024 12PM,,Spring,-39.554045451849234,47.0,0.0,Snow,27.61,2806,981.81
,2024-01-04 14:00,London,Winter,-0.4,,18.42,Clear,195.0330538577613,11767,1004.23
5045.0,2024-01-04 16:00,London,Winter,5.21,89.0,0.0,Clear,15.78,8725,1008.56
5046.0,2024-01-04T18:00Z,London,Winter,1.32,80.0,45.51,Snow,6.14,5540,1009.38
5047.0,04/01/2024 08PM,London,,84.77465056617218,98.0,38.61,Rain,191.95948362100202,,990.36
5048.0,2024-01-04T22:00Z,London,Winter,11.26,87.0,,Fog,17.14,129,1010.31
5049.0,2024-01-05T00:00Z,London,Winter,-1.76,,7.29,Fog,19.13,10336,1011.27
,2024-01-05 02:00,London,,14.42,86.0,0.0,Clear,35.0,9431,1005.86
5051.0,2024-01-05 04:00,London,Winter,10.83,70.0,,,17.25,9733,894.847477715986
5052.0,2024-01-05 06:00,London,Winter,,62.0,201.69198307272114,Storm,64.1,49991.42761000027,966.11
5053.0,2024-01-05T08:00Z,London,Winter,-2.3,,212.88458973136247,Storm,117.85,426,982.47
5054.0,2024-01-05 10:00,London,,18.07,61.0,7.24,Fog,3.39,120010.15525578769,
5055.0,,London,Summer,-43.75193578213015,48.0,0.0,Clear,9.08,10300,1028.16
5056.0,2024-01-05 14:00,,Winter,,83.0,0.0,Clear,24.0,8713,994.85
5057.0,05/01/2024 04PM,London,Spring,,55.0,0.0,Clear,5.9,10785,1023.16
,2024-01-05 18:00,,Winter,1.08,54.0,0.0,Snow,44.07,5756,1022.6
5059.0,2024-01-05T20:00Z,London,Winter,,80.0,0.0,Clear,36.28,9902,1002.5
5060.0,05/01/2024 10PM,London,Spring,8.63,-25.396254162459847,0.0,Clear,26.19,10040,
5061.0,2024-01-06T00:00Z,,,14.85,,2.15,Fog,29.27,5130,1023.01
5062.0,06/01/2024 02AM,London,Summer,13.61,-26.67398236618082,0.0,Clear,26.24,11028,1010.29
,06/01/2024 04AM,London,Summer,24.59,64.0,10.18,,38.44,9557,991.26
5064.0,2024-01-06T06:00Z,London,Winter,7.23,-29.816457375718883,0.0,Clear,13.85,11162,1022.15
5065.0,06/01/2024 08AM,London,Summer,27.26,55.0,0.0,Clear,30.38,,1116.3993012637727
5066.0,2024-01-06T10:00Z,London,Winter,7.31,82.0,17.01,Clear,77.16,11607,997.98
5067.0,2024-01-06T12:00Z,London,Winter,70.44712455612513,42.0,0.0,Clear,,8439,998.17
